brand,total_outbound_tweets,estimated_inbound_tweets,usable_support_interactions,response_coverage_pct,unique_customers,customer_concentration_top10_pct,multi_turn_interactions,multi_turn_rate_pct,exact_query_duplicate_pct,norm_query_duplicate_pct,support_template_exact_repeat_pct,support_template_norm_repeat_pct,dm_redirect_rate_pct,link_share_rate_pct,date_start,date_end,days_active
AmazonHelp,169840,197309,168814,85.56,71048,0.38,84248,49.91,9.37,9.91,0.02,10.12,0.82,41.33,2015-06-13,2017-12-03,904.9
AppleSupport,106860,126113,106646,84.56,76365,0.16,31350,29.4,1.71,2.73,0.08,23.23,52.58,75.37,2016-03-03,2017-12-03,640.4
Uber_Support,56270,69258,56160,81.09,38299,0.37,17927,31.92,2.97,3.21,0.12,64.23,35.22,51.32,2014-12-20,2017-12-03,1080.0
SpotifyCares,43265,46794,43092,92.09,27793,0.32,13663,31.71,4.74,5.66,0.01,19.43,30.83,50.56,2013-09-18,2017-12-03,1537.1
Delta,42253,45329,42114,92.91,22329,0.77,11882,28.21,15.48,16.17,0.02,8.73,17.12,15.25,2016-04-14,2017-12-03,598.4
Tesco,38573,34569,38468,111.28,15593,0.55,11044,28.71,34.76,35.03,0.03,6.01,26.89,8.15,2014-10-12,2017-12-03,1148.2
AmericanAir,36764,49605,36531,73.64,21686,0.7,14323,39.21,0.62,0.91,0.0,3.54,16.78,6.36,2011-06-16,2017-12-03,2362.4
TMobileHelp,34317,40196,34215,85.12,19942,0.89,9667,28.25,2.24,2.65,0.04,3.71,82.17,48.21,2013-05-08,2017-12-03,1671.0
comcastcares,33031,36257,32921,90.8,21823,0.75,7530,22.87,9.09,9.54,0.03,28.66,71.9,3.98,2015-11-07,2017-12-03,757.1
British_Airways,29361,30968,29290,94.58,14212,0.75,10028,34.24,17.89,18.12,0.0,1.1,14.04,6.69,2012-04-30,2017-12-03,2043.5
SouthwestAir,28977,35444,28828,81.33,19712,0.51,8438,29.27,2.47,2.87,0.0,2.34,17.15,15.9,2008-05-08,2017-12-03,3496.1
VirginTrains,27817,37423,27416,73.26,12626,2.59,14842,54.14,4.78,5.01,0.16,7.6,2.64,12.57,2012-03-12,2017-12-03,2092.2
Ask_Spectrum,25860,31276,25617,81.91,17213,0.61,7484,29.21,3.06,3.45,0.12,45.61,49.67,39.54,2015-04-27,2017-12-03,951.2
XboxSupport,24557,29725,23235,78.17,13149,0.7,8737,37.6,14.07,14.66,0.04,29.66,21.55,39.07,2012-06-15,2017-12-03,1997.0
sprintcare,22381,25532,22209,86.98,12895,1.28,7174,32.3,10.64,10.93,0.12,14.9,48.37,17.29,2011-11-28,2017-12-03,2197.2
hulu_support,21872,25527,21681,84.93,13461,0.93,7495,34.57,1.26,1.6,0.0,0.72,0.54,54.88,2014-08-08,2017-12-03,1213.9
sainsburys,19466,23182,19399,83.68,10334,0.76,8104,41.78,9.2,9.72,0.05,7.48,23.25,30.57,2013-10-25,2017-12-03,1500.2
GWRHelp,19364,27037,19237,71.15,7602,2.5,10797,56.13,4.24,4.5,0.01,2.1,1.54,6.78,2013-02-11,2017-12-03,1756.4
AskPlayStation,19098,23540,18675,79.33,12214,0.54,7642,40.92,2.75,2.99,0.13,47.59,25.76,35.89,2010-08-30,2017-12-03,2652.2
ChipotleTweets,18749,22652,18599,82.11,14374,0.99,5860,31.51,0.8,1.66,0.01,20.79,0.78,27.75,2012-09-21,2017-12-03,1899.9
VerizonSupport,17966,23139,17805,76.95,7778,1.43,10424,58.55,5.26,4.17,0.04,22.7,11.77,10.83,2013-04-20,2017-12-03,1688.4
UPSHelp,17817,23169,17762,76.66,14614,0.54,4872,27.43,1.26,1.64,0.05,25.98,70.5,85.11,2012-12-14,2017-12-03,1815.9
ATVIAssist,17650,29725,17514,58.92,12422,0.84,7444,42.5,4.25,5.52,0.03,23.93,24.37,32.1,2014-05-17,2017-12-03,1296.1
O2,16212,19656,16069,81.75,8814,1.27,6997,43.54,0.98,1.05,0.02,5.95,28.51,46.72,2012-07-11,2017-12-03,1971.1
idea_cares,15724,18167,15591,85.82,6021,1.81,6700,42.97,17.77,18.04,0.44,39.1,20.56,33.06,2015-12-11,2017-12-03,723.8
Safaricom_Care,16077,17411,15441,88.69,7046,2.24,5892,38.16,13.68,15.68,0.16,15.06,19.55,10.76,2013-02-20,2017-12-03,1747.2
AskTarget,13218,16653,13210,79.33,10714,0.6,4024,30.46,0.6,0.78,0.06,4.95,34.24,25.12,2016-07-11,2017-12-03,510.0
AirAsiaSupport,12829,13623,12694,93.18,6355,2.13,4491,35.38,17.84,17.09,0.27,12.98,17.32,8.38,2013-12-18,2017-12-03,1446.8
BofA_Help,12683,11250,12634,112.3,6238,1.19,3060,24.22,27.19,27.59,0.13,27.35,7.03,30.69,2013-03-06,2017-12-03,1732.2
ArgosHelpers,12174,15221,12030,79.04,6795,1.51,5710,47.46,5.91,7.43,0.07,2.48,30.19,7.81,2014-09-06,2017-12-03,1184.6
AskLyft,11809,14025,11782,84.01,9407,0.93,2520,21.39,3.32,3.54,0.2,41.33,55.47,72.71,2015-08-20,2017-12-03,836.0
SW_Help,12231,15939,11729,73.59,4610,3.56,5930,50.56,13.06,13.19,0.01,2.02,0.72,16.25,2012-11-02,2017-12-03,1857.3
marksandspencer,11504,14102,11425,81.02,7599,1.13,3694,32.33,8.55,8.72,0.03,5.4,11.2,12.74,2013-11-18,2017-12-03,1476.1
AskPayPal,11298,14095,11239,79.74,9437,0.7,2474,22.01,1.29,2.6,0.02,24.87,72.68,26.76,2015-04-26,2017-12-03,952.3
MicrosoftHelps,11304,11848,11215,94.66,4105,1.62,5166,46.06,24.94,25.14,0.02,10.46,8.61,51.21,2013-10-08,2017-12-03,1517.9
AskAmex,11358,9367,11090,118.39,3976,1.43,3900,35.17,31.94,31.19,0.14,30.19,2.08,6.33,2015-08-28,2017-12-03,828.2
Morrisons,10126,11362,9980,87.84,5451,1.38,3373,33.8,15.03,15.56,0.1,4.75,26.08,0.57,2015-05-11,2017-12-03,937.6
AdobeCare,9917,10300,9858,95.71,4643,2.09,3970,40.27,16.97,17.24,0.41,24.21,9.16,41.15,2017-05-17,2017-12-03,200.1
AskeBay,9686,10760,9612,89.33,4963,2.4,3611,37.57,9.51,9.9,0.02,0.97,28.55,18.27,2016-01-04,2017-12-03,699.7
airtel_care,9881,7799,9402,120.55,2818,6.4,2290,24.36,23.09,23.91,18.58,51.56,18.8,2.79,2014-08-27,2017-12-03,1194.4
AirbnbHelp,8875,10084,8820,87.47,5361,2.07,2833,32.12,6.1,6.44,0.02,2.45,59.18,18.12,2015-06-08,2017-12-03,909.1
ChaseSupport,8811,9216,8707,94.48,6677,1.0,1597,18.34,4.63,4.97,0.03,18.48,47.93,49.11,2013-07-08,2017-12-03,1609.3
McDonalds,8478,11082,8427,76.04,8199,0.39,1349,16.01,2.23,9.73,0.09,35.75,0.69,9.01,2013-05-03,2017-12-03,1675.2
JetBlue,8020,10018,7956,79.42,4628,1.52,3166,39.79,10.23,10.42,0.01,2.27,11.93,19.24,2010-07-05,2017-12-03,2708.8
AldiUK,8114,10676,7846,73.49,6327,1.1,1927,24.56,2.84,3.16,0.28,16.03,29.37,4.84,2013-01-21,2017-12-03,1777.0
CoxHelp,7861,9094,7813,85.91,4320,2.44,2900,37.12,7.69,7.49,0.05,14.78,44.48,16.5,2013-12-09,2017-12-03,1455.9
Ask_WellsFargo,7578,8231,7559,91.84,5585,0.83,1546,20.45,3.86,6.95,0.07,6.02,38.74,44.19,2012-09-26,2017-12-03,1894.1
AlaskaAir,7478,9358,7412,79.2,4736,2.19,2398,32.35,1.19,1.42,0.04,7.29,13.96,17.88,2014-09-09,2017-12-03,1181.1
HPSupport,7200,5266,7145,135.68,3717,1.23,795,11.13,41.97,42.38,0.29,42.11,38.98,58.71,2015-06-23,2017-12-03,894.2
AzureSupport,7565,6991,7010,100.27,2775,3.17,2634,37.57,18.87,19.84,0.21,25.47,19.51,41.16,2017-01-13,2017-12-03,324.1
LondonMidland,6822,9489,6498,68.48,3050,6.23,3455,53.17,4.72,5.01,0.09,3.53,1.03,5.6,2016-04-13,2017-12-03,598.9
GloCare,6308,8484,6300,74.26,2399,3.19,3130,49.68,3.19,3.91,1.76,26.06,1.79,2.92,2013-07-20,2017-12-03,1596.9
DropboxSupport,5954,5278,5938,112.5,3173,2.19,1445,24.33,24.32,24.76,0.02,6.28,19.92,25.56,2017-05-24,2017-12-02,191.2
DellCares,5336,3956,5210,131.7,1763,4.05,1194,22.92,46.81,46.98,0.19,5.74,38.02,21.17,2015-09-13,2017-12-03,811.9
